timestamp,_id,page_name,person_id,tracking_code,orders,revenue_amount
2024-07-18T19:15:39+00:00,1,home page,person-1abc123,abc123,,
2024-07-18T19:15:39+00:00,2,confirmation page,person-1abc123,,1,174.25
2024-07-18T19:15:39+00:00,3,home page,person-2def123,def123,,
2024-07-18T19:15:39+00:00,4,home page,person-3ghi123,ghi123,,
2024-07-18T19:15:39+00:00,5,confirmation page,person-3ghi123,,1,149.25
2024-07-18T19:15:39+00:00,6,home page,person-4abc456,abc456,,
2024-07-18T19:15:39+00:00,7,home page,person-5def456,def456,,
2024-07-18T19:15:39+00:00,8,home page,person-6ghi456,ghi456,,
2024-07-18T19:15:39+00:00,9,confirmation page,person-6ghi456,,1,159.25
2024-07-18T19:15:39+00:00,10,home page,person-7abc789,abc789,,
2024-07-18T19:15:39+00:00,11,home page,person-8def789,def789,,
2024-07-18T19:15:39+00:00,12,home page,person-9ghi789,ghi789,,
2024-07-18T19:15:39+00:00,13,confirmation page,person-9ghi789,,1,124.25
2024-07-18T19:15:39+00:00,14,home page,person-10abc987,abc987,,
2024-07-18T19:15:39+00:00,15,home page,person-11def987,def987,,
2024-07-18T19:15:39+00:00,16,home page,person-12ghi987,ghi987,,
2024-07-18T19:15:39+00:00,17,home page,person-13abc654,abc654,,
2024-07-18T19:15:39+00:00,18,home page,person-14def654,def654,,
2024-07-18T19:15:39+00:00,19,home page,person-15ghi654,ghi654,,
2024-07-18T19:15:39+00:00,20,confirmation page,person-15ghi654,,1,174.25
2024-07-18T19:15:39+00:00,21,home page,person-16abc321,abc321,,
2024-07-18T19:15:39+00:00,22,home page,person-17def321,def321,,
2024-07-18T19:15:39+00:00,23,home page,person-18ghi321,ghi321,,
2024-07-18T19:15:39+00:00,24,home page,person-19abc123,abc123,,
2024-07-18T19:15:39+00:00,25,home page,person-20def123,def123,,
2024-07-18T19:15:39+00:00,26,home page,person-21ghi123,ghi123,,
2024-07-18T19:15:39+00:00,27,confirmation page,person-21ghi123,,1,149.25
2024-07-18T19:15:39+00:00,28,home page,person-22abc456,abc456,,
2024-07-18T19:15:39+00:00,29,home page,person-23def456,def456,,
